漢字,意味,その他
一,いち。ひとつ。数の名。,NULL
一,いち。数の単位。,NULL
一,ひとたび。いちど。,NULL
一,はじめ。最初。物事のいち番目。,NULL
一,同じ。等しい。,NULL
一,ひとつにする。同じにする。,NULL
一,すべて。全部。,NULL
一,もっぱら。ひたすら。,NULL
一,すこし。わずか。ちょっと。,NULL
一,あるひとつの。,NULL
一,あるとき。ある時間。,NULL
一,あるいは。または。,NULL
一,なんと。まったく。,NULL
音,おと。ね。空気の震えなどが耳に伝わり聞こえるもの。,NULL
音,おと。ね。ふし。うた。音楽。,NULL
音,たより。おとずれ。知らせ。,NULL
音,おん。中国から伝来した漢字の発音。また、その読み方。,日本
雨,あめ。あま。空から落ちてくる水滴。,１番
雨,ふる。あめふる。雨がふる。,２番
雨,ふる。雨のようにふる。,２番
円,まる。まるい形。円形。,NULL
円,まるい。まどか。まろやか。角のないさま。,NULL
円,つぶら。つぶらか。まるいさま。まるくて可愛らしいさま。,NULL
円,まったし。完全な。欠けているところがない。,NULL
円,えん。日本の貨幣単位。,日本
円,えん。そのあたり一帯。,日本
王,きみ。天子。君主。,１番
王,徳によって天下を統治すること。また、その人。,１番
王,祖父母の尊称。一親等高い者の尊称。,１番
王,王になる。君臨する。統治する。,２番
王,おう。天皇から三親等以下の男子の称。,日本
火,ひ。ほ。ほのお。物が燃えるときに生じる光や熱。,NULL
火,あかり。ともしび。,NULL
火,焼く。焼ける。燃やす。燃える。たく。,NULL
火,いそぐ。せく。さしせまる。,NULL
火,五行の一つ。方位では南。色では赤。,NULL
火,か。火曜日。七曜のひとつ。,日本
花,はな。草木のはなの総称。,NULL
花,はなのような形をしたもの。また、はなのように美しいさま。,NULL
花,はなが開く。はなが咲く。,NULL
花,目がかすむ。もうろうとする。くらむ。,NULL
花,はな。桜のはな。梅のはな。,日本
花,人気のあるもの。はなやかなもの。,日本
花,祝儀。,日本
貝,かい。かいがら。,NULL
貝,たから。金。貨幣。,NULL
貝,あや。貝に似た模様。,NULL
貝,木の名。貝多羅（ばいたら）の略。,NULL
学,まなぶ。教えてもらう。見習う。,NULL
学,まなぶ。勉強する。,NULL
学,まなび。まなぶこと。学問。学説。,NULL
学,まなびや。まなぶ場所。教育の場。,NULL
学,まなぶ者。学問をする人。,NULL
休,やすむ。やすまる。やすめる。いこう。休息する。,１番
休,さいわい。よろこび。めでたい。,１番
休,やめる。やむ。仕事などをやめる。,１番
休,「やめよ」「なかれ」と読み、「～するな」の意。禁止を表す。,１番
休,よい。すばらしい。りっぱな。,１番
休,いたむ。あわれむ。なげく。,２番
九,ここの。ここのつ。数の名。,NULL
九,ここのたび。くど。きゅうど。きゅう回目。,NULL
九,あまた。たくさん。おおい。なんども。,NULL
九,あつまる。あつめる。あわせる。,NULL
玉,たま。宝石。美しいたま。,NULL
玉,美しい。立派な。宝石のように美しい。,NULL
玉,たまにする。大切にする。立派にする。,NULL
玉,天子や他人に冠し、尊敬の意をあらわす。,NULL
玉,たま。たまのように丸いもの。真珠。,日本
玉,ぎょく。将棋の駒の名。,日本
玉,ぎょく。料理屋で、鳥のたまごのこと。,日本
空,そら。おおぞら。大気。,１番
空,むなしい。さびしい。何もない。とぼしい。無駄。虚ろ。あき。,１番
空,むなしくする。からっぽにする。,１番
空,広い。大きい。,１番
空,から。うつろ。中身がない。人がいない。,１番
空,むなしく。いたずらに。無駄に。,１番
空,あな。つきぬけたあな。,２番
空,すきま。間があいている。,３番
気,くうき。水蒸気。大気。雲気。,NULL
気,いき。呼吸。息をふきかける。呼吸をする。,NULL
気,物質の三態の一つ。気体。,NULL
気,自然界にみられる現象。自然現象。,NULL
気,元気。活力。人間の活動力のもととなるもの。,NULL
気,偉人が持つとされる雲気。,NULL
気,なんとなく感じられるいきおい。心構え。,NULL
気,におい。かおり。においをかぐ。においがする。,NULL
気,様子。気配。おもむき。感じ。,NULL
気,陰暦で、一年を二十四分したうちの一つの期間。,NULL
下,した。しも。位置・地位・価値・年齢などが低い。劣っている。,NULL
下,した。しも。時間・順序・物事の流れの後の方。 ,NULL
下,さがる。さげる。くだる。高い所から低い所へ移動する。,NULL
下,もと。ある者のした。支配の範囲。,NULL
下,くだす。命令を出す。,NULL
下,くだす。手をくだす。物事を行う。,NULL
月,つき。空にみえるつき。地球の衛星。,NULL
月,つき。ひとつき。いっかげつ。一年を十二分したもの。,NULL
月,つきごとに。つきごとの。毎月。,NULL
月,げつ。月曜日。七曜のひとつ。,日本
見,みる。みえる。目でみる。目にはいる。,１番
見,まみえる。人に会う。対面する。,１番
見,「る」「らる」と読み、「～される」と受け身の意を表す。,１番
見,あらわれる。あらわす。外に出る。表に出る。,２番
見,まのあたり。目の前。また、現在。今。,２番
犬,いぬ。家畜の一種。イヌ科の哺乳動物。,NULL
犬,つまらない者のたとえ。自分をへりくだっていう言葉。また、他人をいやしめていう言葉。,NULL
犬,いぬ。スパイ。まわし者。,日本
五,いつ。いつつ。数の名。,NULL
五,いつたび。ごかい。ごど。,NULL
五,いつつ。昔の時刻の呼び方で午前八時（辰の刻）、または午後八時（戌の刻）のこと。,日本
口,くち。飲食や発声をする器官。,NULL
口,人や物が出入りするところ。,NULL
口,しゃべる。くちに出す。また、そのことば。,NULL
口,人や家を数えることば。,NULL
口,くちずから。自分のくちで。自分の言葉で。,NULL
口,刀剣を数えることば。,NULL
口,くち。分割されたものを一つとして数える単位。例：寄付は一口千円,日本
口,くち。物事の分類。種類。例：甘口、 別口,日本
口,くち。勤め先。仕事先。また、嫁入り先。例：就職口,日本
口,物事のはじめ。はし。例：序の口,日本
校,まなびや。学校。学舎。,１番
校,陣営に設けた柵。転じて、陣営の指揮官。,１番
校,くらべる。かんがえる。照らし合わせて考える。また、よく調べて誤りを正す。,２番
校,かせ。罪人の首・手・足などにはめる刑具。,２番
